branch,skills,cgpa,projects,internships,communication,career
CSE,thermal systems manufacturing,6.78,5,1,10,Mechanical Engineer
CSE,verilog vlsi design circuits,8.08,5,1,7,Hardware Engineer
CSE,geotechnical civil engineering,6.77,5,2,8,Civil Engineer
CSE,nodejs express mongodb api,9.45,5,1,8,Backend Developer
CSE,thermal systems manufacturing,7.33,5,0,7,Mechanical Engineer
CSE,cyber security linux networking,7.96,2,0,7,Security Analyst
CSE,nodejs express mongodb api,8.33,1,0,9,Backend Developer
CSE,python machine learning ai data analysis,8.74,4,1,8,Data Scientist
CSE,iot sensors arduino embedded,9.13,4,2,7,IoT Engineer
CSE,signal processing electronics,6.72,3,0,7,Embedded Engineer
CSE,signal processing electronics,8.62,3,1,8,Embedded Engineer
CSE,structure planning autocad,8.54,5,2,6,Civil Engineer
CSE,mechanical cad cam,8.26,5,0,6,Mechanical Engineer
CSE,construction surveying site work,9.2,2,2,8,Site Engineer
CSE,aws docker kubernetes cloud,9.35,5,2,8,DevOps Engineer
CSE,python machine learning ai data analysis,9.25,2,0,8,Data Scientist
CSE,html css javascript react,6.74,5,0,6,Frontend Developer
CSE,construction surveying site work,7.85,4,0,6,Site Engineer
CSE,html css javascript react,6.56,5,0,8,Frontend Developer
CSE,ai deep learning neural networks,7.22,4,0,7,AI Engineer
CSE,infrastructure design planning,6.88,1,0,9,Site Engineer
CSE,html css javascript react,8.48,5,0,7,Frontend Developer
CSE,signal processing electronics,9.47,4,1,7,Embedded Engineer
CSE,geotechnical civil engineering,7.03,5,0,9,Civil Engineer
CSE,structure planning autocad,8.74,3,1,8,Civil Engineer
CSE,construction surveying site work,7.53,1,1,10,Site Engineer
CSE,autocad solidworks design,7.28,1,2,6,Design Engineer
CSE,java spring boot microservices,7.6,1,1,8,Software Engineer
CSE,signal processing electronics,9.44,4,0,7,Embedded Engineer
CSE,embedded c microcontrollers,8.09,4,1,10,Embedded Engineer
CSE,python flask apis backend,7.1,1,2,10,Backend Developer
CSE,iot sensors arduino embedded,7.77,3,2,8,IoT Engineer
CSE,java spring boot microservices,6.93,1,1,9,Software Engineer
CSE,python flask apis backend,9.44,5,0,8,Backend Developer
CSE,structure planning autocad,7.53,1,0,7,Civil Engineer
CSE,verilog vlsi design circuits,6.74,1,2,8,Hardware Engineer
CSE,embedded c microcontrollers,8.74,4,2,10,Embedded Engineer
CSE,django python sql backend,8.21,2,1,9,Backend Developer
CSE,verilog vlsi design circuits,8.94,5,0,10,Hardware Engineer
CSE,nodejs express mongodb api,9.39,3,0,9,Backend Developer
CSE,infrastructure design planning,7.79,3,0,7,Site Engineer
CSE,structure planning autocad,9.21,5,1,7,Civil Engineer
CSE,html css javascript react,9.14,4,1,10,Frontend Developer
CSE,aws docker kubernetes cloud,6.63,1,1,6,DevOps Engineer
CSE,nodejs express mongodb api,6.86,1,1,6,Backend Developer
CSE,infrastructure design planning,7.2,2,1,9,Site Engineer
CSE,mechanical cad cam,9.31,4,1,10,Mechanical Engineer
CSE,construction surveying site work,8.17,1,0,6,Site Engineer
CSE,infrastructure design planning,7.91,2,2,8,Site Engineer
CSE,signal processing electronics,7.84,3,2,7,Embedded Engineer
CSE,thermal systems manufacturing,8.22,3,2,8,Mechanical Engineer
CSE,signal processing electronics,9.04,2,0,9,Embedded Engineer
CSE,python flask apis backend,6.69,2,2,10,Backend Developer
CSE,mechanical cad cam,8.37,3,2,8,Mechanical Engineer
CSE,verilog vlsi design circuits,6.8,2,2,8,Hardware Engineer
CSE,django python sql backend,8.06,2,0,10,Backend Developer
CSE,construction surveying site work,6.54,3,0,7,Site Engineer
CSE,embedded c microcontrollers,7.14,2,1,9,Embedded Engineer
CSE,java spring boot microservices,9.1,1,1,8,Software Engineer
CSE,embedded c microcontrollers,6.8,1,1,9,Embedded Engineer
CSE,html css javascript react,7.13,4,0,9,Frontend Developer
CSE,embedded c microcontrollers,7.85,3,0,10,Embedded Engineer
CSE,python flask apis backend,7.06,3,0,10,Backend Developer
CSE,iot sensors arduino embedded,8.59,4,1,9,IoT Engineer
CSE,autocad solidworks design,6.53,4,2,10,Design Engineer
CSE,embedded c microcontrollers,8.12,5,2,7,Embedded Engineer
CSE,ai deep learning neural networks,9.48,4,0,9,AI Engineer
CSE,ai deep learning neural networks,9.45,2,1,6,AI Engineer
CSE,structure planning autocad,6.78,4,2,7,Civil Engineer
CSE,django python sql backend,8.9,4,2,8,Backend Developer
CSE,infrastructure design planning,9.06,1,1,6,Site Engineer
CSE,autocad solidworks design,7.51,1,0,9,Design Engineer
CSE,autocad solidworks design,9.17,5,1,10,Design Engineer
CSE,geotechnical civil engineering,7.62,3,1,6,Civil Engineer
CSE,html css javascript react,6.82,5,0,9,Frontend Developer
CSE,ai deep learning neural networks,8.18,3,2,7,AI Engineer
CSE,python flask apis backend,9.05,1,0,8,Backend Developer
CSE,signal processing electronics,8.04,5,1,6,Embedded Engineer
CSE,cyber security linux networking,7.92,3,1,6,Security Analyst
CSE,construction surveying site work,7.05,4,1,8,Site Engineer
CSE,ai deep learning neural networks,7.23,2,1,6,AI Engineer
CSE,nodejs express mongodb api,8.48,3,0,10,Backend Developer
CSE,flutter mobile apps firebase,8.69,1,0,8,Mobile App Developer
CSE,ai deep learning neural networks,6.61,3,0,9,AI Engineer
CSE,autocad solidworks design,8.05,4,1,8,Design Engineer
CSE,react node mongodb fullstack,7.11,4,2,10,Full Stack Developer
CSE,geotechnical civil engineering,8.07,1,2,6,Civil Engineer
CSE,structure planning autocad,6.77,5,2,9,Civil Engineer
CSE,python machine learning ai data analysis,9.38,5,2,10,Data Scientist
CSE,aws docker kubernetes cloud,6.56,3,1,10,DevOps Engineer
CSE,verilog vlsi design circuits,8.82,1,1,9,Hardware Engineer
CSE,infrastructure design planning,8.67,3,1,6,Site Engineer
CSE,mechanical cad cam,8.78,4,2,6,Mechanical Engineer
CSE,construction surveying site work,9.15,2,2,6,Site Engineer
CSE,signal processing electronics,8.85,4,2,9,Embedded Engineer
CSE,nodejs express mongodb api,7.8,2,2,8,Backend Developer
CSE,nodejs express mongodb api,8.41,4,1,7,Backend Developer
CSE,autocad solidworks design,9.19,4,0,9,Design Engineer
CSE,mechanical cad cam,7.12,3,1,6,Mechanical Engineer
CSE,robotics automation design,8.79,4,2,9,Design Engineer
CSE,flutter mobile apps firebase,8.24,3,0,9,Mobile App Developer
CSE,ai deep learning neural networks,9.25,4,0,10,AI Engineer
CSE,construction surveying site work,6.64,5,1,8,Site Engineer
CSE,nodejs express mongodb api,7.24,4,0,9,Backend Developer
CSE,structure planning autocad,8.66,3,1,6,Civil Engineer
CSE,geotechnical civil engineering,7.2,5,1,7,Civil Engineer
CSE,java spring boot microservices,8.93,1,0,7,Software Engineer
CSE,cyber security linux networking,8.37,1,1,8,Security Analyst
CSE,embedded c microcontrollers,8.04,1,2,7,Embedded Engineer
CSE,cyber security linux networking,6.68,1,1,8,Security Analyst
CSE,thermal systems manufacturing,7.29,5,1,8,Mechanical Engineer
CSE,infrastructure design planning,8.66,3,2,9,Site Engineer
CSE,embedded c microcontrollers,7.68,4,1,6,Embedded Engineer
CSE,robotics automation design,6.68,1,1,8,Design Engineer
CSE,nodejs express mongodb api,7.75,3,0,10,Backend Developer
CSE,python machine learning ai data analysis,8.17,5,0,6,Data Scientist
CSE,iot sensors arduino embedded,7.56,2,0,6,IoT Engineer
CSE,verilog vlsi design circuits,6.64,4,2,9,Hardware Engineer
CSE,geotechnical civil engineering,9.21,1,2,6,Civil Engineer
CSE,structure planning autocad,8.37,3,2,8,Civil Engineer
CSE,mechanical cad cam,8.34,2,1,10,Mechanical Engineer
CSE,html css javascript react,9.45,3,1,6,Frontend Developer
CSE,infrastructure design planning,7.85,4,2,8,Site Engineer
CSE,thermal systems manufacturing,7.83,2,2,9,Mechanical Engineer
CSE,nodejs express mongodb api,8.25,5,1,6,Backend Developer
CSE,autocad solidworks design,6.83,2,0,6,Design Engineer
CSE,django python sql backend,7.51,1,1,10,Backend Developer
CSE,flutter mobile apps firebase,6.81,4,0,6,Mobile App Developer
CSE,mechanical cad cam,8.25,1,1,9,Mechanical Engineer
CSE,java spring boot microservices,8.65,2,0,10,Software Engineer
CSE,ai deep learning neural networks,7.79,1,2,10,AI Engineer
CSE,django python sql backend,8.14,4,0,7,Backend Developer
CSE,thermal systems manufacturing,8.0,4,0,8,Mechanical Engineer
CSE,autocad solidworks design,9.13,3,2,10,Design Engineer
CSE,robotics automation design,6.69,5,1,9,Design Engineer
CSE,html css javascript react,7.67,5,1,10,Frontend Developer
CSE,iot sensors arduino embedded,8.34,4,0,10,IoT Engineer
CSE,flutter mobile apps firebase,7.04,3,2,7,Mobile App Developer
CSE,python flask apis backend,9.43,3,2,10,Backend Developer
CSE,construction surveying site work,6.82,3,2,9,Site Engineer
CSE,aws docker kubernetes cloud,7.62,4,2,8,DevOps Engineer
CSE,python flask apis backend,7.32,2,1,9,Backend Developer
CSE,java spring boot microservices,7.18,2,1,10,Software Engineer
CSE,java spring boot microservices,9.33,3,2,9,Software Engineer
CSE,flutter mobile apps firebase,8.05,5,1,9,Mobile App Developer
CSE,autocad solidworks design,8.93,2,1,9,Design Engineer
CSE,construction surveying site work,6.77,2,2,9,Site Engineer
CSE,autocad solidworks design,7.67,4,2,9,Design Engineer
CSE,ai deep learning neural networks,8.72,4,2,6,AI Engineer
CSE,construction surveying site work,6.92,3,2,8,Site Engineer
CSE,python machine learning ai data analysis,9.3,1,1,6,Data Scientist
CSE,aws docker kubernetes cloud,8.16,4,2,7,DevOps Engineer
CSE,iot sensors arduino embedded,8.67,5,1,9,IoT Engineer
CSE,java spring boot microservices,6.82,3,2,7,Software Engineer
CSE,react node mongodb fullstack,6.87,5,2,9,Full Stack Developer
CSE,nodejs express mongodb api,7.79,4,2,10,Backend Developer
CSE,ai deep learning neural networks,9.47,3,2,9,AI Engineer
CSE,nodejs express mongodb api,7.66,2,0,9,Backend Developer
CSE,html css javascript react,7.33,5,1,9,Frontend Developer
CSE,signal processing electronics,7.96,5,1,8,Embedded Engineer
CSE,aws docker kubernetes cloud,7.01,2,1,9,DevOps Engineer
CSE,infrastructure design planning,6.89,2,2,9,Site Engineer
CSE,construction surveying site work,6.75,5,2,9,Site Engineer
CSE,nodejs express mongodb api,9.41,4,0,6,Backend Developer
CSE,iot sensors arduino embedded,7.5,3,0,9,IoT Engineer
CSE,python flask apis backend,8.78,1,2,6,Backend Developer
CSE,geotechnical civil engineering,7.01,3,1,9,Civil Engineer
CSE,embedded c microcontrollers,9.24,2,2,7,Embedded Engineer
CSE,django python sql backend,9.06,4,2,7,Backend Developer
CSE,aws docker kubernetes cloud,8.45,4,0,8,DevOps Engineer
CSE,autocad solidworks design,8.13,5,0,7,Design Engineer
CSE,react node mongodb fullstack,6.67,3,1,10,Full Stack Developer
CSE,autocad solidworks design,7.59,1,0,7,Design Engineer
CSE,python flask apis backend,9.03,5,2,6,Backend Developer
CSE,aws docker kubernetes cloud,9.42,5,0,6,DevOps Engineer
CSE,embedded c microcontrollers,9.24,2,2,10,Embedded Engineer
CSE,python flask apis backend,8.63,5,2,10,Backend Developer
CSE,html css javascript react,8.17,5,1,8,Frontend Developer
CSE,nodejs express mongodb api,7.78,3,2,6,Backend Developer
CSE,infrastructure design planning,8.33,5,1,10,Site Engineer
CSE,python flask apis backend,8.77,3,2,8,Backend Developer
CSE,react node mongodb fullstack,6.74,1,1,7,Full Stack Developer
CSE,embedded c microcontrollers,8.54,3,0,7,Embedded Engineer
CSE,autocad solidworks design,7.84,2,0,6,Design Engineer
CSE,mechanical cad cam,8.76,3,1,7,Mechanical Engineer
CSE,python flask apis backend,6.98,3,1,9,Backend Developer
CSE,iot sensors arduino embedded,8.78,1,2,7,IoT Engineer
CSE,python flask apis backend,7.72,4,1,9,Backend Developer
CSE,embedded c microcontrollers,8.42,5,2,8,Embedded Engineer
CSE,ai deep learning neural networks,9.29,4,2,7,AI Engineer
CSE,infrastructure design planning,7.18,5,1,10,Site Engineer
CSE,geotechnical civil engineering,6.56,3,2,6,Civil Engineer
CSE,construction surveying site work,6.9,3,2,7,Site Engineer
CSE,django python sql backend,6.75,5,1,7,Backend Developer
CSE,verilog vlsi design circuits,6.95,5,2,6,Hardware Engineer
CSE,infrastructure design planning,6.92,4,2,9,Site Engineer
CSE,react node mongodb fullstack,6.84,3,2,6,Full Stack Developer
CSE,python machine learning ai data analysis,7.75,5,2,10,Data Scientist
CSE,thermal systems manufacturing,8.06,2,0,9,Mechanical Engineer
CSE,ai deep learning neural networks,9.14,2,1,6,AI Engineer
CSE,aws docker kubernetes cloud,9.41,4,1,8,DevOps Engineer
CSE,cyber security linux networking,6.82,4,1,9,Security Analyst
CSE,verilog vlsi design circuits,7.48,3,2,9,Hardware Engineer
CSE,cyber security linux networking,9.03,3,2,9,Security Analyst
CSE,embedded c microcontrollers,7.53,1,2,9,Embedded Engineer
CSE,geotechnical civil engineering,7.28,2,1,9,Civil Engineer
CSE,embedded c microcontrollers,9.22,1,1,8,Embedded Engineer
CSE,thermal systems manufacturing,8.24,3,1,7,Mechanical Engineer
CSE,embedded c microcontrollers,9.2,1,1,8,Embedded Engineer
CSE,thermal systems manufacturing,6.91,2,0,6,Mechanical Engineer
CSE,react node mongodb fullstack,7.99,2,2,10,Full Stack Developer
CSE,react node mongodb fullstack,6.79,2,2,9,Full Stack Developer
CSE,verilog vlsi design circuits,9.0,5,0,8,Hardware Engineer
CSE,signal processing electronics,9.22,1,0,8,Embedded Engineer
CSE,robotics automation design,7.46,5,2,6,Design Engineer
CSE,autocad solidworks design,8.31,5,1,10,Design Engineer
CSE,aws docker kubernetes cloud,6.71,1,1,8,DevOps Engineer
CSE,python machine learning ai data analysis,7.95,5,0,9,Data Scientist
CSE,ai deep learning neural networks,6.68,2,2,7,AI Engineer
CSE,java spring boot microservices,7.61,4,0,7,Software Engineer
CSE,robotics automation design,8.75,5,2,10,Design Engineer
CSE,embedded c microcontrollers,8.1,2,1,8,Embedded Engineer
CSE,structure planning autocad,7.36,1,1,9,Civil Engineer
CSE,embedded c microcontrollers,8.26,1,0,10,Embedded Engineer
CSE,ai deep learning neural networks,8.19,1,1,8,AI Engineer
CSE,signal processing electronics,8.64,2,2,6,Embedded Engineer
CSE,django python sql backend,8.15,3,1,9,Backend Developer
CSE,django python sql backend,7.43,3,1,6,Backend Developer
CSE,aws docker kubernetes cloud,8.77,1,1,9,DevOps Engineer
CSE,cyber security linux networking,9.27,4,0,9,Security Analyst
CSE,react node mongodb fullstack,9.14,4,2,10,Full Stack Developer
CSE,verilog vlsi design circuits,7.71,3,1,9,Hardware Engineer
CSE,flutter mobile apps firebase,6.77,1,0,9,Mobile App Developer
CSE,iot sensors arduino embedded,6.89,2,0,9,IoT Engineer
CSE,ai deep learning neural networks,9.16,1,1,9,AI Engineer
CSE,python flask apis backend,6.93,5,2,6,Backend Developer
CSE,verilog vlsi design circuits,9.2,3,0,6,Hardware Engineer
CSE,python flask apis backend,7.94,4,0,9,Backend Developer
CSE,html css javascript react,8.64,5,1,7,Frontend Developer
CSE,python flask apis backend,7.9,4,2,10,Backend Developer
CSE,robotics automation design,8.84,1,0,7,Design Engineer
CSE,ai deep learning neural networks,8.59,3,2,6,AI Engineer
CSE,structure planning autocad,8.9,2,0,9,Civil Engineer
CSE,infrastructure design planning,9.08,1,1,10,Site Engineer
CSE,python machine learning ai data analysis,7.57,2,1,10,Data Scientist
CSE,embedded c microcontrollers,8.72,2,2,8,Embedded Engineer
CSE,java spring boot microservices,9.03,1,1,7,Software Engineer
CSE,autocad solidworks design,8.32,3,1,10,Design Engineer
CSE,mechanical cad cam,9.44,4,0,8,Mechanical Engineer
CSE,python machine learning ai data analysis,7.13,4,2,6,Data Scientist
CSE,django python sql backend,8.43,4,0,9,Backend Developer
CSE,html css javascript react,8.74,2,2,6,Frontend Developer
CSE,django python sql backend,6.99,4,2,8,Backend Developer
CSE,nodejs express mongodb api,8.11,3,0,8,Backend Developer
CSE,cyber security linux networking,6.89,1,2,10,Security Analyst
CSE,nodejs express mongodb api,6.75,5,2,10,Backend Developer
CSE,django python sql backend,9.39,4,2,8,Backend Developer
CSE,autocad solidworks design,6.55,1,1,8,Design Engineer
CSE,iot sensors arduino embedded,7.68,5,0,7,IoT Engineer
CSE,autocad solidworks design,6.98,1,0,7,Design Engineer
CSE,robotics automation design,7.18,3,0,9,Design Engineer
CSE,python flask apis backend,8.0,4,1,10,Backend Developer
CSE,structure planning autocad,8.75,5,1,9,Civil Engineer
CSE,django python sql backend,9.03,5,0,6,Backend Developer
CSE,python machine learning ai data analysis,7.62,2,1,7,Data Scientist
CSE,aws docker kubernetes cloud,8.63,5,2,6,DevOps Engineer
CSE,construction surveying site work,7.66,2,1,10,Site Engineer
CSE,python flask apis backend,6.61,2,1,7,Backend Developer
CSE,python machine learning ai data analysis,7.88,1,1,6,Data Scientist
CSE,java spring boot microservices,8.87,1,1,9,Software Engineer
CSE,cyber security linux networking,7.51,4,1,9,Security Analyst
CSE,embedded c microcontrollers,7.91,3,0,10,Embedded Engineer
CSE,ai deep learning neural networks,8.61,5,2,8,AI Engineer
CSE,python flask apis backend,7.27,3,2,10,Backend Developer
CSE,iot sensors arduino embedded,7.64,2,1,9,IoT Engineer
CSE,python machine learning ai data analysis,7.64,3,0,6,Data Scientist
CSE,construction surveying site work,9.37,4,0,6,Site Engineer
CSE,autocad solidworks design,8.81,2,0,7,Design Engineer
CSE,structure planning autocad,8.1,5,1,10,Civil Engineer
CSE,signal processing electronics,7.69,4,0,10,Embedded Engineer
CSE,django python sql backend,9.08,5,2,9,Backend Developer
CSE,nodejs express mongodb api,8.36,4,0,7,Backend Developer
CSE,structure planning autocad,8.21,5,2,7,Civil Engineer
CSE,signal processing electronics,8.03,4,1,8,Embedded Engineer
CSE,autocad solidworks design,9.33,1,0,9,Design Engineer
CSE,html css javascript react,8.41,2,0,10,Frontend Developer
CSE,construction surveying site work,6.8,4,2,7,Site Engineer
CSE,robotics automation design,7.39,4,0,7,Design Engineer
CSE,structure planning autocad,8.19,3,1,9,Civil Engineer
CSE,structure planning autocad,7.05,5,2,8,Civil Engineer
CSE,python machine learning ai data analysis,8.15,3,0,10,Data Scientist
CSE,python flask apis backend,7.54,2,0,6,Backend Developer
CSE,ai deep learning neural networks,7.17,5,0,10,AI Engineer
CSE,thermal systems manufacturing,8.06,1,1,7,Mechanical Engineer
CSE,nodejs express mongodb api,8.17,5,1,7,Backend Developer
CSE,robotics automation design,8.32,5,0,7,Design Engineer
CSE,robotics automation design,7.93,3,1,7,Design Engineer
CSE,signal processing electronics,8.68,3,0,9,Embedded Engineer
CSE,aws docker kubernetes cloud,7.85,1,0,9,DevOps Engineer
CSE,aws docker kubernetes cloud,6.95,1,1,10,DevOps Engineer
CSE,verilog vlsi design circuits,8.77,1,2,8,Hardware Engineer
CSE,react node mongodb fullstack,8.32,5,1,7,Full Stack Developer
CSE,iot sensors arduino embedded,8.49,2,2,8,IoT Engineer
CSE,iot sensors arduino embedded,8.33,4,2,10,IoT Engineer
CSE,flutter mobile apps firebase,9.0,2,0,7,Mobile App Developer
CSE,autocad solidworks design,6.84,3,2,6,Design Engineer
CSE,mechanical cad cam,6.55,1,0,7,Mechanical Engineer
CSE,cyber security linux networking,8.19,5,1,8,Security Analyst
CSE,mechanical cad cam,7.73,1,0,10,Mechanical Engineer
CSE,python machine learning ai data analysis,7.7,1,0,9,Data Scientist
CSE,iot sensors arduino embedded,8.0,4,1,7,IoT Engineer
CSE,html css javascript react,6.92,5,2,8,Frontend Developer
CSE,html css javascript react,8.65,3,0,8,Frontend Developer
CSE,robotics automation design,7.62,4,1,9,Design Engineer
CSE,construction surveying site work,7.53,3,2,9,Site Engineer
CSE,ai deep learning neural networks,9.36,1,1,9,AI Engineer
CSE,structure planning autocad,8.6,1,1,9,Civil Engineer
CSE,nodejs express mongodb api,7.11,2,2,7,Backend Developer
CSE,signal processing electronics,9.44,5,0,9,Embedded Engineer
CSE,autocad solidworks design,7.98,2,1,6,Design Engineer
CSE,html css javascript react,9.47,5,2,10,Frontend Developer
CSE,mechanical cad cam,8.8,2,1,7,Mechanical Engineer
CSE,html css javascript react,8.1,5,2,6,Frontend Developer
CSE,python flask apis backend,6.53,2,0,9,Backend Developer
CSE,html css javascript react,7.04,3,1,8,Frontend Developer
CSE,infrastructure design planning,7.97,1,2,8,Site Engineer
CSE,infrastructure design planning,9.46,3,2,7,Site Engineer
CSE,signal processing electronics,9.11,3,1,8,Embedded Engineer
CSE,structure planning autocad,7.01,2,1,10,Civil Engineer
CSE,robotics automation design,7.64,5,1,9,Design Engineer
CSE,autocad solidworks design,7.72,4,2,10,Design Engineer
CSE,python flask apis backend,6.52,5,0,6,Backend Developer
CSE,infrastructure design planning,8.25,3,0,6,Site Engineer
CSE,aws docker kubernetes cloud,7.33,5,2,7,DevOps Engineer
CSE,java spring boot microservices,6.78,5,1,7,Software Engineer
CSE,python machine learning ai data analysis,8.39,1,1,9,Data Scientist
CSE,structure planning autocad,6.78,4,0,9,Civil Engineer
CSE,thermal systems manufacturing,8.02,4,1,10,Mechanical Engineer
CSE,react node mongodb fullstack,9.46,5,1,6,Full Stack Developer
CSE,verilog vlsi design circuits,7.6,4,0,9,Hardware Engineer
CSE,verilog vlsi design circuits,8.02,3,0,9,Hardware Engineer
CSE,signal processing electronics,7.84,2,2,8,Embedded Engineer
CSE,cyber security linux networking,6.93,5,1,9,Security Analyst
CSE,infrastructure design planning,9.46,4,2,6,Site Engineer
CSE,iot sensors arduino embedded,7.54,4,1,10,IoT Engineer
CSE,python machine learning ai data analysis,9.17,5,1,6,Data Scientist
CSE,nodejs express mongodb api,9.25,2,0,10,Backend Developer
CSE,signal processing electronics,8.64,1,0,8,Embedded Engineer
CSE,autocad solidworks design,7.02,5,0,8,Design Engineer
CSE,geotechnical civil engineering,8.43,5,0,9,Civil Engineer
CSE,ai deep learning neural networks,7.65,4,1,8,AI Engineer
CSE,verilog vlsi design circuits,6.77,5,0,6,Hardware Engineer
CSE,nodejs express mongodb api,6.67,1,2,8,Backend Developer
CSE,html css javascript react,7.55,2,2,8,Frontend Developer
CSE,autocad solidworks design,7.44,5,1,6,Design Engineer
CSE,python machine learning ai data analysis,8.52,5,2,6,Data Scientist
CSE,aws docker kubernetes cloud,9.34,5,1,7,DevOps Engineer
CSE,iot sensors arduino embedded,8.31,2,0,10,IoT Engineer
CSE,autocad solidworks design,7.96,3,0,9,Design Engineer
CSE,flutter mobile apps firebase,8.43,3,0,8,Mobile App Developer
CSE,verilog vlsi design circuits,7.24,1,1,7,Hardware Engineer
CSE,html css javascript react,9.43,1,1,6,Frontend Developer
CSE,react node mongodb fullstack,6.73,4,1,6,Full Stack Developer
CSE,mechanical cad cam,8.0,4,2,9,Mechanical Engineer
CSE,react node mongodb fullstack,6.61,4,1,9,Full Stack Developer
CSE,autocad solidworks design,9.38,3,1,9,Design Engineer
CSE,geotechnical civil engineering,9.45,4,0,10,Civil Engineer
CSE,verilog vlsi design circuits,7.35,3,2,7,Hardware Engineer
CSE,thermal systems manufacturing,6.59,3,2,10,Mechanical Engineer
CSE,robotics automation design,8.42,5,0,7,Design Engineer
CSE,infrastructure design planning,6.77,1,0,8,Site Engineer
CSE,thermal systems manufacturing,7.01,1,1,6,Mechanical Engineer
CSE,nodejs express mongodb api,7.3,5,1,8,Backend Developer
CSE,iot sensors arduino embedded,8.22,5,0,10,IoT Engineer
CSE,python machine learning ai data analysis,8.12,2,0,8,Data Scientist
CSE,aws docker kubernetes cloud,6.68,3,2,7,DevOps Engineer
CSE,thermal systems manufacturing,7.96,2,2,7,Mechanical Engineer
CSE,infrastructure design planning,7.43,2,1,10,Site Engineer
CSE,robotics automation design,6.97,4,1,7,Design Engineer
CSE,ai deep learning neural networks,7.08,3,2,7,AI Engineer
CSE,java spring boot microservices,8.86,5,0,9,Software Engineer
CSE,cyber security linux networking,8.92,5,2,10,Security Analyst
CSE,aws docker kubernetes cloud,6.8,3,0,7,DevOps Engineer
CSE,robotics automation design,7.66,5,2,7,Design Engineer
CSE,construction surveying site work,8.14,3,1,9,Site Engineer
